Time (ps)  Signal (counts)
0.0  -0.002740138
0.2  0.001982640
0.4  0.014379181
0.6  0.010439134
0.8  -0.014530330
1.0  0.009097397
1.2  -0.000735803
1.4  0.011072823
1.6  -0.004858392
1.8  -0.000889310
2.0  -0.004047910
2.2  -0.003630542
2.4  0.018325383
2.6  -0.021057763
2.8  -0.016830811
3.0  -0.006798343
3.2  -0.007497992
3.4  0.001210672
3.6  -0.023006247
3.8  0.000069143
4.0  0.011790152
4.2  0.005142444
4.4  0.016676730
4.6  -0.007704975
4.8  0.004100401
5.0  -0.005656213
5.2  -0.002065765
5.4  0.002617461
5.6  -0.026232076
5.8  -0.002736637
6.0  0.002573578
6.2  0.000335595
6.4  0.005800157
6.6  -0.009061374
6.8  0.023845134
7.0  0.009171479
7.2  0.023417450
7.4  -0.005466913
7.6  -0.000919469
7.8  0.004542907
8.0  -0.004080134
8.2  -0.010079852
8.4  0.003146463
8.6  -0.008637875
8.8  0.005390696
9.0  -0.006008455
9.2  -0.003225707
9.4  0.013936494
9.6  0.000105534
9.8  0.002940559
10.0  0.011341999
10.2  -0.004341254
10.4  0.010099189
10.6  0.016954397
10.8  -0.003695938
11.0  0.019294060
11.2  0.031128067
11.4  0.034490314
11.6  0.017158659
11.8  0.019707849
12.0  0.033565469
12.2  0.008796736
12.4  0.052130722
12.6  0.038457964
12.8  0.027177211
13.0  0.063087130
13.2  0.053008329
13.4  0.076278130
13.6  0.064867102
13.8  0.071789006
14.0  0.116454192
14.2  0.110987268
14.4  0.119059607
14.6  0.093116113
14.8  0.108375857
15.0  0.144129024
15.2  0.153407039
15.4  0.165162382
15.6  0.160802332
15.8  0.145533135
16.0  0.228043127
16.2  0.214940339
16.4  0.230753612
16.6  0.229287357
16.8  0.235362198
17.0  0.294105668
17.2  0.306709258
17.4  0.305415235
17.6  0.296244662
17.8  0.294465507
18.0  0.378257971
18.2  0.373119732
18.4  0.363728703
18.6  0.381538844
18.8  0.379921507
19.0  0.471049239
19.2  0.469301176
19.4  0.477019918
19.6  0.440846385
19.8  0.458891916
20.0  0.546562180
22.0  0.716035930
24.0  0.813120746
26.0  0.917670594
28.0  0.966420389
30.0  0.978942619
32.0  0.973957170
34.0  0.969398575
36.0  0.972334775
38.0  0.978952359
40.0  0.980931114
42.0  0.984075730
44.0  0.976880465
46.0  0.973405134
48.0  0.980083956
50.0  0.966807271
52.0  0.973582927
54.0  0.962777725
56.0  0.969163614
58.0  0.983561071
60.0  0.944085025
62.0  0.972843779
64.0  0.944186540
66.0  0.968687903
68.0  0.961449647
70.0  0.954829667
72.0  0.944283743
74.0  0.934429484
76.0  0.947269637
78.0  0.961572486
80.0  0.960187802
82.0  0.941263591
84.0  0.944815181
86.0  0.947970012
88.0  0.947746662
90.0  0.948864368
92.0  0.945930765
94.0  0.928365387
96.0  0.942432413
98.0  0.921742838
100.0  0.934443456
102.0  0.927902202
104.0  0.943899818
106.0  0.929462803
108.0  0.928871595
110.0  0.938112091
112.0  0.948096218
114.0  0.928491307
116.0  0.929198282
118.0  0.928189374
120.0  0.923880967
122.0  0.916928960
124.0  0.927770298
126.0  0.931566157
128.0  0.912847499
130.0  0.931241600
132.0  0.911621632
134.0  0.917873502
136.0  0.910237691
138.0  0.924933535
140.0  0.927844012
142.0  0.914493920
144.0  0.921259631
146.0  0.891077876
148.0  0.912199583
150.0  0.908320325
152.0  0.900505377
154.0  0.896188711
156.0  0.892061709
158.0  0.887193292
160.0  0.896712722
162.0  0.913381063
164.0  0.905267016
166.0  0.888754264
168.0  0.888742353
170.0  0.898802004
172.0  0.887668700
174.0  0.887600725
176.0  0.889378678
178.0  0.878973874
180.0  0.883902249
182.0  0.885827135
184.0  0.870520607
186.0  0.888673860
188.0  0.882380792
190.0  0.894805144
192.0  0.889124928
194.0  0.869734528
196.0  0.867526472
198.0  0.879665290
200.0  0.879689455
202.0  0.870099398
204.0  0.886816201
206.0  0.862804682
208.0  0.891388702
210.0  0.884429709
212.0  0.855532245
214.0  0.868355084
216.0  0.874482456
218.0  0.865335979
220.0  0.860542786
222.0  0.875057014
224.0  0.876829887
226.0  0.878099462
228.0  0.865475720
230.0  0.858579432
232.0  0.857558913
234.0  0.860776590
236.0  0.869418731
238.0  0.870958173
240.0  0.849715811
242.0  0.846836257
244.0  0.850772344
246.0  0.853677830
248.0  0.847268216
250.0  0.839288446
252.0  0.856614652
254.0  0.856485396
256.0  0.852249080
258.0  0.870122384
260.0  0.832718192
262.0  0.842097875
264.0  0.833572238
266.0  0.849398242
268.0  0.850530013
270.0  0.835664050
272.0  0.837063712
274.0  0.828296674
276.0  0.850925741
278.0  0.844821408
280.0  0.817567963
282.0  0.839394417
284.0  0.849299401
286.0  0.846189383
288.0  0.834544488
290.0  0.834615182
292.0  0.826176245
294.0  0.806081422
296.0  0.826021157
298.0  0.823094558
300.0  0.838136497
302.0  0.831954225
304.0  0.820652550
306.0  0.838819352
308.0  0.812195737
310.0  0.818692839
312.0  0.842766315
314.0  0.817093609
316.0  0.841711491
318.0  0.823862585
320.0  0.811632016
322.0  0.833663431
324.0  0.812940520
326.0  0.824317023
328.0  0.804763024
330.0  0.827633318
332.0  0.806515394
334.0  0.813726134
336.0  0.804257414
338.0  0.786300982
340.0  0.819075048
342.0  0.802068707
344.0  0.819613582
346.0  0.814538549
348.0  0.808856373
350.0  0.797320190
352.0  0.798680363
354.0  0.788714936
356.0  0.800305716
358.0  0.804958150
360.0  0.801803285
362.0  0.800364687
364.0  0.786642447
366.0  0.804277395
368.0  0.804916512
370.0  0.804506833
372.0  0.783555922
374.0  0.798701218
376.0  0.777779468
378.0  0.798036276
380.0  0.783163216
382.0  0.790867631
384.0  0.777338903
386.0  0.771718319
388.0  0.775666709
390.0  0.769417957
392.0  0.771133094
394.0  0.780798528
396.0  0.778867564
398.0  0.770737204
400.0  0.792459902
402.0  0.770891117
404.0  0.772022162
406.0  0.787886391
408.0  0.764758088
410.0  0.772363108
412.0  0.764114506
414.0  0.763725877
416.0  0.758322521
418.0  0.760606148
420.0  0.764682938
422.0  0.763059259
424.0  0.766731925
426.0  0.758421733
428.0  0.755005286
430.0  0.770014287
432.0  0.759956591
434.0  0.752090964
436.0  0.768596513
438.0  0.759094836
440.0  0.773486085
442.0  0.773118710
444.0  0.739664541
446.0  0.761404633
448.0  0.745883292
450.0  0.758260689
452.0  0.769116433
454.0  0.755269394
456.0  0.745962454
458.0  0.757660411
460.0  0.763278014
462.0  0.760932208
464.0  0.754866117
466.0  0.727416360
468.0  0.760600961
470.0  0.735602361
472.0  0.738951039
474.0  0.754263868
476.0  0.745643442
478.0  0.759001590
480.0  0.757635510
482.0  0.757657977
484.0  0.736789554
486.0  0.752284436
488.0  0.737854843
490.0  0.740360379
492.0  0.757933086
494.0  0.718481023
496.0  0.740348454
498.0  0.737071484
500.0  0.728834934
510.0  0.732780045
520.0  0.739295265
530.0  0.730271174
540.0  0.714723628
550.0  0.718998819
560.0  0.719488279
570.0  0.704193611
580.0  0.698949207
590.0  0.693056752
600.0  0.690076460
610.0  0.682234461
620.0  0.682948606
630.0  0.676367847
640.0  0.670089028
650.0  0.675929263
660.0  0.681158606
670.0  0.657561404
680.0  0.665121417
690.0  0.655248431
